State,District,Year,mean_ndvi,wheat_data,tomato_data,potato_data,Percapita_Income,Population_density,total_markets,supermarket,convenience,greengrocer,grocery,marketplace,Malnutrition_Rate,Anemia_Rate,BMI_Avg,access_score
Haryana,Mahendragarh,2023,0.2064,2068.72,1857.36,1455.66,193135,589,0,0,0,0,0,0,13.09,64.77,23.16,0.28407942880276776
Haryana,Mewat,2023,0.2034,2395.32,1918.08,1618.35,161099,1063,0,0,0,0,0,0,28.77,66.5,22.18,0.2653537742388037
Haryana,Palwal,2023,0.2668,2993.31,189.94,780.95,231039,1009,1,1,0,0,0,0,17.42,62.38,22.98,0.2682730387751563
Haryana,Panipat,2023,0.2709,2004.31,2583.49,1411.39,643997,1236,5,3,0,0,0,2,14.79,68.14,23.61,0.3410291291746715
Haryana,Rewari,2023,0.1889,2866.58,2339.62,1764.1,478825,687,4,2,0,0,0,2,15.36,64.59,23.23,0.3541376214476082
Haryana,Rohtak,2023,0.2625,1465.7,701.67,1398.21,308110,700,3,1,0,1,0,1,17.95,68.74,23.4,0.2382196274065986
Haryana,Sonipat,2023,0.2571,2046.89,2176.47,1437.51,643997,749,0,0,0,0,0,0,11.95,58.96,23.7,0.3520080667691605
Rajasthan,Alwar,2023,0.2158,2859.24,2182.51,1628.41,240808,572,1,0,0,0,0,1,21.3,56.18,22.05,0.3321867224549702
Rajasthan,Bharatpur,2023,0.1836,2833.21,1783.94,1308.95,123979,635,2,2,0,0,0,0,24.0,66.24,21.84,0.262253297820086
Uttar Pradesh,Baghpat,2023,0.2733,1617.53,1404.29,1361.24,122000,1129,0,0,0,0,0,0,17.37,54.74,23.38,0.26387012198804555
Uttar Pradesh,Bulandshahr,2023,0.2678,2623.64,1869.25,1147.44,128000,981,1,1,0,0,0,0,22.78,56.05,23.22,0.28763963205865256
Uttar Pradesh,Gautam Buddha Nagar,2023,0.2185,2515.68,2138.42,1615.23,848000,1663,8,3,2,1,0,2,16.6,59.14,23.38,0.3925069517889135
Uttar Pradesh,Ghaziabad,2023,0.2067,2474.31,2062.02,1681.02,158000,6012,72,26,16,8,0,22,19.67,56.46,24.03,0.32207448300097913
Uttar Pradesh,Hapur,2023,0.2792,3572.16,1674.34,768.81,144000,7977,0,0,0,0,0,0,22.03,57.98,23.55,0.2768008745152239
Uttar Pradesh,Meerut,2023,0.2598,2547.02,1894.56,1510.05,197000,1054,37,18,9,6,0,4,18.77,48.34,23.69,0.34379621664083504
Uttar Pradesh,Muzaffarnagar,2023,0.2851,2761.42,2059.33,1310.17,122000,1247,12,12,0,0,0,0,23.58,53.72,23.25,0.31369707942632924
Uttar Pradesh,Shamli,2023,0.3048,2333.33,1502.18,699.62,112000,1569,1,0,0,0,0,1,23.6,51.42,23.04,0.27559882400187863
